"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:WATCH_GIVER1","You crook!","Ty oszuście!"
"traveler:WATCH_GIVER1","All Arsotzkans are same.","Wszyscy Arstoczkanie są tacy sami."
"traveler:WATCH_GIVER1","Liars and cheats!","Kłamcy i oszuści!"
"traveler:WATCH_GIVER1","I will not leave without watch.","Nie odejdę stąd bez mojego zegarka."
"traveler:WATCH_GIVER1","Is expensive gift from cousin!","To kosztowny prezent od kuzyna!"
"traveler:WATCH_GIVER1","Only needs new battery.","Potrzebuje tylko nowej baterii."
"traveler:WATCH_GIVER1","Tell guards to keep away.","Każcie strażnikom mnie zostawić."
"traveler:WATCH_GIVER1","Give back my watch!","Oddajcie mój zegarek!"
"traveler:WATCH_GIVER1","I will not leave without money.","Nie odejdę stąd bez pieniędzy."
"traveler:WATCH_GIVER1","You ruin my good watch.","Zniszczyliście dobry zegarek."
"traveler:WATCH_GIVER1","Give back my money!","Oddajcie moje pieniądze!"
"traveler:WATCH_GIVER1","Where is my watch?","Gdzie jest mój zegarek?"
"traveler:WATCH_GIVER1","@I sold it.","@Sprzedałem go."
"traveler:WATCH_GIVER1","What!","Co?!"
"traveler:WATCH_GIVER1","I give you watch to hold.","Dałem wam go na przechowanie."
"traveler:WATCH_GIVER1","Put trust in you!","Ech, zaufać wam!"
"traveler:WATCH_GIVER1","Watch was gift from cousin.","To był prezent od kuzyna."
"traveler:WATCH_GIVER1","I hope you got good money for it.","Mam nadzieję, że chociaż sprzedaliście go drogo."
"traveler:WATCH_GIVER1","Damn Arstotzkan crook.","Pieprzony arstocki oszust."
"traveler:ARSKICKER0","Hey man.","Ej, człowieku."
"traveler:ARSKICKER0","I lost id card.","Zgubiłem mój dowód osobisty."
"traveler:ARSKICKER0","I think someone stole it from locker room.","Chyba ktoś mi go ukradł z szatni."
"traveler:ARSKICKER0","But we won match!","Ale wygraliśmy mecz!"
"traveler:ARSKICKER0","Can't wait to get home.~","Nie mogę się doczekać powrotu do domu.~"
"traveler:ARSKICKER0","I have carried this for years, maybe you take it.","Woziłem to ze sobą latami. Może wam się przyda."
"traveler:ARSKICKER0","@Your Arstotzkan id card is missing.","@Brakuje wam dowodu osobistego."
"traveler:ARSKICKER0","I know man. I told you.","Wiem, koleś. Przecież mówiłem."
"traveler:ARSKICKER0","It was stolen.","Ktoś go ukradł."
"traveler:ARSKICKER0","C'mon let me through.","Bez jaj, daj mi przejść."
"traveler:ARSKICKER0","Thanks bud, is good to be home!","Dzięki, chłopie! Dobrze być znów w domu!"
"traveler:ARSKICKER0","Hey bullshit!","Co za bzdura!"
"traveler:ARSKICKER0","I gave you pennant even!","Dałem wam nawet mój proporczyk!"
"traveler:ARSKICKER0","Gonna tell coach about this crap.","Powiem o wszystkim trenerowi."
"traveler:ARSKICKER1","Hi again.","Witajcie ponownie."
"traveler:ARSKICKER1","Remember me?","Pamiętacie mnie?"
"traveler:ARSKICKER1","Go Arskickers!","Do boju, Kozaki!"
"traveler:ARSKICKER1","I give you that great banner.~","Dałem ci ten świetny proporczyk.~"
"traveler:ARSKICKER1","Listen, I tell my coach about this.","Mówiłem o tym trenerowi."
"traveler:ARSKICKER1","He get very upset.","Bardzo się wściekł."
"traveler:ARSKICKER1","Say if I do not get banner back, I lose front seat on team bus.~","Mówi, że jeśli nie przyniosę go z powrotem, stracę miejsce z przodu naszego autobusu.~"
"traveler:ARSKICKER1","All seats good, but front seat definitely best.","Wszystkie miejsca są dobre, ale te z przodu są najlepsze."
"traveler:ARSKICKER1","So I really just need banner back.","Więc naprawdę potrzebuję tego proporczyka."
"traveler:ARSKICKER1","What you say?","Co wy na to?"
"traveler:ARSKICKER1","Lousy fan!","Co z was za fan?!"
"traveler:ARSKICKER1","Ah thanks!","Serdeczne dzięki!"
"traveler:ARSKICKER1","Do not forget to root for us!","Nie zapomnijcie nam kibicować!"
"traveler:ARSKICKER1","Ah good.","Doskonale."
"traveler:ARSKICKER1","It is more beaten up than I remember.","Nie pamiętam, żeby był aż tak zniszczony."
"traveler:ARSKICKER1","Even there is big tear here.","A to rozdarcie tutaj..."
"traveler:ARSKICKER1","What did you do?","Co wy z nim robiliście?"
"traveler:ARSKICKER1","Oh well. Coach should be happy.","No nic. Trener powinien być zadowolony."
"traveler:ARSKICKER1","Alright that is great yeah.","Super, no to świetnie."
"traveler:ARSKICKER1","But where is banner?","Ale gdzie jest proporczyk?"
"traveler:ARSKICKER1","Thanks bud!","Dzięki, chłopie!"
"traveler:ARSKICKER1","Do not forget to root for us at regionals.","Nie zapomnijcie kibicować nam na mistrzostwach."
"traveler:ARSKICKER1","Ok. Well.","W porządku."
"traveler:ARSKICKER1","That is messed up.","To przykra sprawa."
"traveler:ARSKICKER1","At least you give banner back right?","Ale oddacie mi chociaż proporczyk?"
"traveler:ARSKICKER1","At least you give banner back.","Oddajcie mi chociaż proporczyk."
"traveler:ARSKICKER1","@The banner is mine now.","@Jest teraz mój."
"traveler:ARSKICKER1","Oh boy.","No masz."
"traveler:ARSKICKER1","Such an asshole here.","Co za dupek tu siedzi."
"traveler:ARSKICKER1","If guards do not kill me, coach will.","Jeżeli strażnicy mnie nie zastrzelą, zrobi to trener."
"traveler:BUSTED_SPY","I have not much time.","Nie mam wiele czasu."
"traveler:BUSTED_SPY","You must hold on to these.","Pilnujcie tego jak oka w głowie."
"traveler:BUSTED_SPY","Keep them safe today.","Zabezpieczcie te dokumenty."
"traveler:BUSTED_SPY","I am being followed by an imposter.","Jestem [m]śledzony[/m][f]śledzona[/f] przez oszusta."
"traveler:BUSTED_SPY","They pretend to be from the Ministry of Information but it is a lie.","Będzie udawał, że jest z Ministerstwa Informacji, ale to kłamstwo."
"traveler:BUSTED_SPY","If they ask for documents, give these instead.","Jeżeli poprosi o dokumenty, daj mu ten komplet."
"traveler:BUSTED_SPY","Do not mix them up.","Nie pomieszaj ich!"
"traveler:BUSTED_SPY_FOLLOWER","@Your papers?","@Wasze dokumenty?"
"traveler:BUSTED_SPY_FOLLOWER","I am from the Ministry of Information.","Jestem z Ministerstwa Informacji."
"traveler:BUSTED_SPY_FOLLOWER","You have something to give us.","Macie coś dla nas do przekazania."
"traveler:BUSTED_SPY_FOLLOWER","Perfect.","Idealnie."
"traveler:GYM_INSTRUCTOR","You are skin and bones.","Wyglądacie bardzo mizernie."
"traveler:GYM_INSTRUCTOR","Bet you have no real strength.","Założę się, że nie macie pary w rękach."
"traveler:GYM_INSTRUCTOR","Come to gym, I make you big.","Przyjdźcie poćwiczyć, pomogę wam zrobić bice i całą resztę."
"traveler:GYM_INSTRUCTOR","I guarantee you get big at Get Big Town.","W mojej siłowni Miasto Masy efekty są gwarantowane."
"traveler:GYM_INSTRUCTOR","Is what we do.","Masa to nasza specjalność."
"traveler:GYM_INSTRUCTOR","Denied? Hah.","Nie wpuścicie mnie? Ha."
"traveler:GYM_INSTRUCTOR","This is what I expect from skinny weakling.","Tego właśnie [m]spodziewałem[/m][f]spodziewałam[/f] się po takim cieniasie."
"traveler:OLD_INSPECTOR","I used to be an inspector like you.","Też kiedyś [m]byłem[/m][f]byłam[/f] inspektorem, jak wy."
"traveler:OLD_INSPECTOR","Many years ago. Back in United Fed.~","Lata temu, w Zjednoczonej Federacji.~"
"traveler:OLD_INSPECTOR","We denied most people.~","Odsyłaliśmy większość petentów z kwitkiem.~"
"traveler:OLD_INSPECTOR","It is all done by computers now.","Teraz wszystko robią komputery."
"traveler:OLD_INSPECTOR","They can deny much faster that way.","One odmawiają ludziom o wiele sprawniej."
"traveler:OLD_INSPECTOR","Good luck.","Powodzenia."
"traveler:OLD_INSPECTOR","I do not miss it.","Nie tęsknię za tymi czasami."
"traveler:OLD_INSPECTOR","What? Why am I denied?~","Co? Dlaczego nie mogę przejść?~"
"traveler:OLD_INSPECTOR","So this is what it feels like.~","A więc to takie uczucie.~"
"traveler:OLD_INSPECTOR","@Where is entry permit?","@Gdzie wasza zgoda na wjazd?"
"traveler:OLD_INSPECTOR","Eh, it does not matter what I say.","Ech, nie ma znaczenia, co powiem."
"traveler:OLD_INSPECTOR","Just deny the visa and I will go.","Po prostu wbijcie mi czerwoną pieczątkę i pójdę sobie."
"traveler:RED_STAMP","Red stamp.","Czerwona pieczęć."
"traveler:RED_STAMP","@What?","@Co?"
"traveler:RED_STAMP","Give me red stamp.","Przybijcie mi czerwoną pieczęć."
"traveler:RED_STAMP","I am serious.","Mówię poważnie."
"traveler:RED_STAMP","I have better job offer in Impor.","Mam lepszą ofertę pracy w Imporze."
"traveler:RED_STAMP","Red stamp and I can break contract in Arstotzka.","Czerwona pieczęć i będę [m]mógł[/m][f]mogła[/f] zerwać kontrakt w Arstoczce."
"traveler:RED_STAMP","10 credits for you.","10 kredytów dla was."
"traveler:RED_STAMP","Damn it.","Cholera."
"traveler:RED_STAMP","I am sure you deny people all day.","Przecież cały dzień odmawiacie komuś wizy."
"traveler:RED_STAMP","Why not now?","Dlaczego nie teraz?"
"traveler:RED_STAMP","I figure something else out.","Wymyślę coś innego."
"traveler:RED_STAMP","Ok, now I get free from this bad job.","Uff, wreszcie uwolnię się od tej beznadziejnej pracy."
"traveler:RED_STAMP","Thanks.","Dzięki."
"traveler:NEED_SURGERY","I come for medical reasons.","Jestem tu z powodów medycznych."
"traveler:NEED_SURGERY","@Your papers are missing.","@Nie macie wszystkich dokumentów."
"traveler:NEED_SURGERY","Please.","Proszę."
"traveler:NEED_SURGERY","Surgery I need is outlawed in Kolechia.","Potrzebny mi zabieg jest zakazany w Kolechii."
"traveler:NEED_SURGERY","Even so, I do not trust doctors there.","Zresztą i tak nie ufam tamtejszym doktorom."
"traveler:NEED_SURGERY","Only Arstotzka have skilled surgeons.","Tylko w Arstoczce są dobrzy chirurdzy."
"traveler:NEED_SURGERY","@You do not have the right documents.","@Nie macie właściwych dokumentów."
"traveler:NEED_SURGERY","Yes.","Tak."
"traveler:NEED_SURGERY","They will not give papers for surgery.","Nie dadzą mi innych, żebym nie [m]poddał[/m][f]poddała[/f] się operacji."
"traveler:NEED_SURGERY","Thank you. I will not forget this.","Dziękuję wam. Nie zapomnę tego."
"traveler:NEED_SURGERY","I expected this.","Tego się [m]spodziewałem[/m][f]spodziewałam[/f]."
"traveler:NEED_SURGERY","I do not know how long I survive.","Nie wiem, jak długo jeszcze pożyję."
"traveler:NEED_SURGERY","But you do not care.~","Ale was to nie obchodzi.~"
"traveler:NEED_SURGERY","I hope you are not in same place as me.","Mam nadzieję, że nie znajdziecie się w podobnym położeniu."
"traveler:LOVE_SONG","I will leave this here.","Zostawię to tutaj."
"traveler:LOVE_SONG","Great!","Świetnie!"
"traveler:LOVE_SONG","You really super guy!~","Wspaniały z was mężczyzna!~"
"traveler:LOVE_SONG","Can I have note back now?","Czy mogę dostać mój liścik z powrotem?"
"traveler:LOVE_SONG","I need it for next inspector.","Potrzebuję go dla kolejnego inspektora."
"traveler:LOVE_SONG","But I give you such lovely note!","Ale przecież dostaliście ode mnie taki piękny list!"
"traveler:LOVE_SONG","Thanks and like I say, you super guy.","Dziękuję i tak jak [m]mówiłem[/m][f]mówiłam[/f] - wspaniały z was facet."
"traveler:LOVE_SONG","Do not forget.","Nie zapomnijcie."
"traveler:LOVE_SONG","Is too much?","[m]Przeciągnęłem[/m][f]Przeciągnęłam[/f] strunę?"
"traveler:LOVE_SONG","@Yes.","@Tak."
"traveler:LOVE_SONG","Is too much. I can see that now.","[m]Przeciągnęłem. Teraz sam[/m][f]Przeciągnęłam. Teraz sama[/f] to widzę."
"traveler:LOVE_SONG","Next time I make couple copies first.","Następnym razem zrobię sobie kilka kopii."
"traveler:LOVE_SONG_LONELY","Life sucks.","Życie jest do dupy."
"traveler:LOVE_SONG_LONELY","Nobody loves me.","Nikt mnie nie kocha."
"traveler:LOVE_SONG_LONELY","For me?","To dla mnie?"
"traveler:LOVE_SONG_LONELY","Like fire?","Jak ogień?"
"traveler:LOVE_SONG_LONELY","Object of desire?","Magnetyzm?"
"traveler:LOVE_SONG_LONELY","Wow, nobody say such nice things!","Och, nikt mi nie mówił jeszcze takich rzeczy!"
"traveler:LOVE_SONG_LONELY","Part about visa is confusing but rest is very powerful.","Ten fragment z wizą jest trochę dziwny, ale reszta jest wspaniała."
"traveler:LOVE_SONG_LONELY","Thank you!","Dziękuję!"
"traveler:LOVE_SONG_LONELY","Thank you again!","Dziękuję jeszcze raz!"
"traveler:LOVE_SONG_LONELY","Thanks I guess.","Cóż, dzięki."
"traveler:LOVE_SONG_LONELY","No problem!","Żaden problem."
"traveler:LOVE_SONG_LONELY","Today is good day anyway!","Dzisiaj jest jednak dobry dzień!"
"traveler:LOVE_SONG_LONELY","Even you hate me.","Nawet wy mnie nienawidzicie."
"traveler:LOVE_SONG_LONELY","Some guy I do not even know.","Jakiś gość, którego nawet nie znam."
"traveler:KOLECHIAN_HATER","It was a mistake to open this checkpoint.","Ten cały punkt kontrolny to jakaś pomyłka."
"traveler:FINALLY_RETURN_HOME","Finally I can return home.","Wreszcie mogę wrócić do domu."
"traveler:FINALLY_RETURN_HOME","You bastard.","Ty draniu."
"traveler:FINALLY_RETURN_HOME","Thank you.","Dziękuję wam."
"traveler:SMALL_CHECKPOINT","This checkpoint is smaller than I expected.","Ten posterunek jest mniejszy, niż mi się zdawało."
"traveler:WAITED_FOREVER","I have waited in this damn line since for 8 hours.","Czekam w tej pieprzonej kolejce od ośmiu godzin."
"traveler:WAITED_FOREVER","I hope it was worth it.","Mam nadzieję, że było warto."
"traveler:WAITED_FOREVER","Unbelievable. Go to hell.","Niewiarygodne. Idź do diabła."
"traveler:HURRY_UP","Hurry up.","Pospieszcie się."
"traveler:HURRY_UP","I am meeting bus soon.","Zaraz mam autobus."
"traveler:HURRY_UP","What is this?","Co to jest?"
"traveler:HURRY_UP","Finally.","Wreszcie."
"traveler:GLAD_YOU_HAVE_JOB","I heard about terrorist attack.","W gazecie pisali o tych zamachach."
"traveler:GLAD_YOU_HAVE_JOB","You are lucky to have a job still.","Macie szczęście, że zachowaliście pracę."
"traveler:GLAD_YOU_HAVE_JOB","Be safe.","Uważajcie na siebie."
"traveler:TICKET_NOT_PERMIT","What? I do not know. To visit?","Cel? Nie wiem. Odwiedziny?"
"traveler:TICKET_NOT_PERMIT","A few days maybe.","Może kilka dni."
"traveler:TICKET_NOT_PERMIT","Entry permit? I have ticket here.","Zgoda na wjazd? Przecież mam kwit."
"traveler:TICKET_NOT_PERMIT","Let me through.","Przepuśćcie mnie."
"traveler:TICKET_NOT_PERMIT","@Ticket is not enough any more.","@Kwity kontrolne utraciły już ważność."
"traveler:TICKET_NOT_PERMIT","@Get a permit.","@Musicie zdobyć zezwolenie."
"traveler:TICKET_NOT_PERMIT","Bullshit!","Bzdura!"
"traveler:TICKET_NOT_PERMIT","I paid good money for ticket.","Ten kwit kosztował ciężkie pieniądze!"
"traveler:VISIT_SON","I am so happy that the border has opened.","Tak się cieszę, że otwarto granicę."
"traveler:VISIT_SON","I will visit my son. I have not seen him in six years. [Speech/Purpose]","Odwiedzę mojego syna. Nie widzieliśmy się sześć lat. [Speech/Purpose]"
"traveler:VISIT_SON","6 months. [Speech/Duration]","6 miesięcy. [Speech/Duration]"
"traveler:VISIT_SON","Please, let me pass. My son is waiting.","Proszę, pozwólcie mi przejść. Mój syn czeka."
"traveler:VISIT_SON","Thank you.","Dziękuję wam."
"traveler:VISIT_SON","Curse you.","Niech was piekło pochłonie."
"traveler:DETAIN_FIRST","Hey wait.","Poczekajcie."
"traveler:DETAIN_FIRST","Do not arrest me, please.","Nie aresztujcie mnie, proszę."
"traveler:DETAIN_FIRST","Just deny my passport and I will go away.","Po prostu odmówcie mi wizy i pójdę sobie."
"traveler:HATE_COUNTRY","It is not my choice. I hate this damn country.","To nie jest mój wybór. Nienawidzę tego pieprzonego kraju."
"traveler:HATE_COUNTRY","I am just passing through. [Speech/Purpose]","Jestem tu przejazdem. [Speech/Purpose]"
"traveler:HATE_COUNTRY","As little as possible. 2 days. [Speech/Duration]","Tak krótko, jak to tylko możliwe. Dwa dni. [Speech/Duration]"
"traveler:HATE_COUNTRY","Ugh.","Uch."
"traveler:HATE_COUNTRY","Just as well.","Równie dobrze."
"traveler:SEARCH_BRIBE_INTRO","Slow down my friend.","Wyluzuj, przyjacielu."
"traveler:SEARCH_BRIBE_INTRO","I have only harmless medicine.","To tylko niewinne lekarstwo."
"traveler:SEARCH_BRIBE_INTRO","I give you 10 credits to let me through.","Dam ci 10 kredytów, jeśli mnie przepuścisz."
"traveler:SEARCH_BRIBE_INTRO","Excellent.","Doskonale."
"traveler:SEARCH_BRIBE_INTRO","As I promised.","Zgodnie z obietnicą."
"traveler:SEARCH_BRIBE_INTRO","Why you turn down good money?","Dlaczego gardzisz solidną sumką?"
"traveler:SEARCH_BRIBE_INTRO","@You are lucky to escape arrest.","@Macie szczęście, że nie skończycie w areszcie."
"traveler:SEARCH_BRIBE_INTRO","@Do not come back.","@Nie wracajcie tu."
"traveler:SEARCH_BRIBE_INTRO","@You cannot bribe an officer of Arstotzka.","@Oficerowie w służbie Arstoczki są nieprzekupni."
"traveler:SEARCH_BRIBE_INTRO","They must pay well for such obedience, dog.","Muszą ci nieźle płacić za takie posłuszeństwo, piesku."
"traveler:TWO_PASSPORTS","Shit!","Cholera!"
"traveler:TWO_PASSPORTS","I make small mistake.","Przydarzył mi się mały błąd."
"traveler:TWO_PASSPORTS","Please give documents back.","Oddajcie mi proszę dokumenty."
"traveler:TWO_PASSPORTS","@Why do you have two passports?","@Dlaczego macie dwa paszporty?"
"traveler:TWO_PASSPORTS","Is funny story.","To zabawna historia."
"traveler:TWO_PASSPORTS","I tell you everything.","Opowiem wam."
"traveler:TWO_PASSPORTS","First, you give papers back to me.","Ale najpierw oddajcie mi papiery."
"traveler:TWO_PASSPORTS","And the others?","A co z pozostałymi?"
"traveler:TWO_PASSPORTS","Last one please.","Jeszcze jeden poproszę."
"traveler:IDSUPPLEMENT_COMPLAIN","This id supplement is total pain.","Te karty identyfikacyjne to same problemy."
"traveler:IDSUPPLEMENT_COMPLAIN","Was not easy to get and only lasts few days.","Nie dość, że ciężko taką dostać, to jeszcze jest ważna tylko kilka dni."
"traveler:IDSUPPLEMENT_COMPLAIN","You Arstotzkans just make it harder and harder.","Wy, Arstoczkanie, robicie wszystko, żeby utrudnić nam życie."
"traveler:IDSUPPLEMENT_COMPLAIN","Why even have open border?","Po co w ogóle otwieraliście granicę?"
"traveler:IDSUPPLEMENT_COMPLAIN","Bah.","Ech."
"traveler:IDSUPPLEMENT_COMPLAIN","Would be better to spend money on bribe.","Lepiej było wydać pieniądze na łapówkę."
"traveler:IDSUPPLEMENT_COMPLAIN","Less trouble and faster.","Mniej z tym problemów i szybciej się coś załatwi."
"traveler:IDSUPPLEMENT_COMPLAIN","I knew it would not even work.","Zgodnie z oczekiwaniami - to nie miało prawa się udać."
"traveler:CRIMINAL_FIRST","@Funny to see you here.","@Zabawnie was tutaj widzieć."
"traveler:CRIMINAL_FIRST","@Just when starting to look for criminals.","@I to akurat jak zaczynamy rozglądać się za przestępcami."
"traveler:CRIMINAL_FIRST","Criminals?","Przestępcami?"
"traveler:CRIMINAL_FIRST","What are you saying?","Nie rozumiem?"
"traveler:DENIAL_REASON_FIRST","Denied?","Odmowa?"
"traveler:DENIAL_REASON_FIRST","For what reason?","Z jakiego powodu?"
"traveler:DENIAL_REASON_FIRST","@It is clearly stamped there.","@Możecie przeczytać na pieczęci."
"traveler:DENIAL_REASON_FIRST","Oh.~","Och.~"
"traveler:DENIAL_REASON_FIRST","Screw you anyways.","A zresztą - pieprzcie się."
"traveler:NO_IMPORIANS_FIRST","@Imporians are prohibited from entering.","@Nie przepuszczamy obywateli Imporu."
"traveler:NO_IMPORIANS_DAY","@Imporians are prohibited from entering.","@Nie przepuszczamy obywateli Imporu."
"traveler:NO_UNITEDFED_FIRST","@Do not bring your sickness to Arstotzka.","@Nie przynoście waszej choroby do naszego kraju."
"traveler:NO_UNITEDFED_FIRST","What?","Co?"
"traveler:NO_UNITEDFED_FIRST","I am perfectly healthy.","Mam końskie zdrowie."
"traveler:NO_UNITEDFED_FIRST","It is so easy to deny entry.","Odmówić wizy, to dla was jak splunąć."
"traveler:NO_UNITEDFED_FIRST","All this paperwork is wasted.","Cała papierkowa robota na marne."
"traveler:NO_UNITEDFED","@Do not bring your sickness to Arstotzka.","@Nie przynoście waszej choroby do naszego kraju."
"traveler:NO_UNITEDFED","What?","Co?"
"traveler:NO_UNITEDFED","I am perfectly healthy.","Mam końskie zdrowie."
"traveler:NO_UNITEDFED","It is so easy to deny entry.","Odmówić wizy, to dla was jak splunąć."
"traveler:NO_UNITEDFED","All this paperwork is wasted.","Cała papierkowa robota na marne."
"traveler:CONFISCATION_DISTRICT_FIRST","Thank you. It is good to be back home.","Dziękuję wam. Dobrze jest wrócić do domu."
"traveler:CONFISCATION_DISTRICT_FIRST","I am leaving for trip soon so I just need my passport back.","Wyjeżdżam wkrótce w podróż, więc potrzebuję mojego paszportu z powrotem."
"traveler:CONFISCATION_DISTRICT_FIRST","@It is being confiscated.","@Został skonfiskowany."
"traveler:CONFISCATION_DISTRICT_FIRST","What do you mean?","Co macie na myśli?"
"traveler:CONFISCATION_DISTRICT_FIRST","@Contact number on slip for recovery.","@Numer kontaktowy podany jest na kwicie."
"traveler:CONFISCATION_DISTRICT_FIRST","You can just hand it back.","Możecie mi go po prostu oddać."
"traveler:CONFISCATION_DISTRICT_FIRST","@It has been filed. I cannot give it back.","@Został wpisany do akt. Nie mogę go oddać."
"traveler:CONFISCATION_DISTRICT_FIRST","I am not leaving without passport.","Nie ruszę się stąd bez paszportu."
"traveler:CONFISCATION_DISTRICT_FIRST","Where is my passport?","Gdzie jest mój paszport?"
"traveler:CONFISCATION_DISTRICT_FIRST","You deny entry and take passport?","Odmawiacie mi wizy i jeszcze zabieracie paszport?"
"traveler:CONFISCATION_DISTRICT_FIRST","What am I supposed to do?","To co ja mam teraz zrobić?"
"traveler:CONFISCATION_DISTRICT_FIRST","@Contact number on slip.","@Zadzwońcie pod numer podany na kwicie."
"traveler:CONFISCATION_DISTRICT_FIRST","You cannot do this to me!","Nie możecie mi tego zrobić!"
"traveler:CONFISCATION_DISTRICT_FIRST","I am Arstotzkan citizen.","Jestem [m]obywatelem[/m][f]obywatelką[/f] Arstoczki."
"traveler:CONFISCATION_DISTRICT_FIRST","I have right to travel freely.","Mam prawo podróżować swobodnie."
"traveler:WHISTLEBLOWER","Thank you.","Dziękuję wam."
"traveler:WHISTLEBLOWER","I hope that things are better here.","Mam nadzieję, że tutaj sprawy mają się lepiej."
"traveler:WHISTLEBLOWER","What? I was promised asylum here.","Co? Obiecano mi tu azyl."
"traveler:WHISTLEBLOWER","I have nowhere else to go.","Nie mam gdzie iść."
"traveler:WHISTLEBLOWER","@This is not my problem.","@To nie mój problem."
"traveler:ACCESSPERMIT_FIRST","You Arstotzkans keep changing rules here.","Wy, Arstoczkanie, ciągle zmieniacie zasady."
"traveler:ACCESSPERMIT_FIRST","My sister came through last week with different documents.","Moja siostra przeszła przez granicę w zeszłym tygodniu z całkiem innymi dokumentami."
"traveler:ACCESSPERMIT_FIRST","Now I need new access permit.","Teraz podobno potrzebuję zgody na wstęp."
"traveler:ACCESSPERMIT_FIRST","Costs twice as much as before.","Koszty wzrosły dwukrotnie."
"traveler:ACCESSPERMIT_WRONG","What the hell is access permit?","Czym, u diabła, jest zgoda na wstęp?"
"traveler:ACCESSPERMIT_WRONG","Do you mean entry permit?","Macie na myśli zgodę na wjazd?"
"traveler:ACCESSPERMIT_WRONG","I have it there.","Mam tu wszystko."
"traveler:ACCESSPERMIT_WRONG","@I mean access permit.","@Chodzi mi o zgodę na wstęp."
"traveler:ACCESSPERMIT_WRONG","Never heard of it. Sounds stupid.","Pierwsze słyszę. Brzmi głupio."
"traveler:ACCESSPERMIT_WRONG","@Entry permit and supplement are no longer accepted.","@Zgody na wjazd i karty identyfikacyjne są już nieważne."
"traveler:ACCESSPERMIT_WRONG","@Access permit replaces them.","@Zastąpiła je zgoda na wstęp."
"traveler:ACCESSPERMIT_WRONG","@Makes my job easier.","@To upraszcza moją pracę."
"traveler:ACCESSPERMIT_WRONG","I do not care about your job.","Gdzieś mam waszą pracę."
"traveler:ACCESSPERMIT_WRONG","Damnit.","Cholera."
"traveler:STRICT_BORDER","I've heard this is very strict checkpoint.","Mówiono mi, że obowiązują tu surowe zasady."
"traveler:STRICT_BORDER","I am glad my papers are in order.","Cieszę się, że moje papiery są w porządku."
"traveler:DESPERATE_BEFORECLOSE","I have heard the border will close.","Podobno granica ma zostać zamknięta."
"traveler:DESPERATE_BEFORECLOSE","My access permit will not arrive in time.","Moja zgoda na wstęp nie dotrze na czas."
"traveler:DESPERATE_BEFORECLOSE","Please have mercy.","Proszę się zlitować."
"traveler:DESPERATE_BEFORECLOSE","Yes I know. I just told you that.","Wiem. Przed chwilą o tym rozmawialiśmy."
"traveler:DESPERATE_BEFORECLOSE","I am afraid the border will close before I can enter.","Obawiam się, że granica zostanie zamknięta, zanim uda mi się ją przekroczyć."
"traveler:WALLCOMMENT_PLAQUEONE","What is this plaque on the wall?","Co to za tabliczka na ścianie?"
"traveler:WALLCOMMENT_PLAQUEONE","You are recognized for presence?","Dostaliście wyróżnienie za siedzenie na stołku?"
"traveler:WALLCOMMENT_PLAQUEONE","Way to go.","Dobra robota."
"traveler:WALLCOMMENT_PLAQUEONE","What is this on the wall?","Co tam wisi na ścianie?"
"traveler:WALLCOMMENT_PLAQUEONE","Recognized for sufficience?","Wyrazy uznania za dostateczność?"
"traveler:WALLCOMMENT_PLAQUEONE","Impressive. Why even bother with plaque?","Robi wrażenie. Naprawdę jest to warte tabliczki?"
"traveler:WALLCOMMENT_PLAQUEONE","You are recognized for excellence?","Dostaliście wyróżnienie za doskonałość?"
"traveler:WALLCOMMENT_PLAQUEONE","I hope they give you raise and not just plaque.","Mam nadzieję, że dali wam oprócz tego podwyżkę."
"traveler:WALLCOMMENT_PLAQUEONE","Find a better plaque.","Skombinujcie lepszą tabliczkę."
"traveler:WALLCOMMENT_PLAQUEONE","This one looks like cheap shit.","Ta wygląda jak ostatnie barachło."
"traveler:WALLCOMMENT_PLAQUEONE","Figures.","Cyferki."
"traveler:WALLCOMMENT_PLAQUEONE","You are like this plaque.","Jesteście jak ta tabliczka."
"traveler:WALLCOMMENT_PLAQUEONE","Cheap shit.","Barachło."
"traveler:WALLCOMMENT_PLAQUEONE","What the hell?","Co to ma znaczyć?"
"traveler:WALLCOMMENT_ARSKICKER","Nice banner!","Ładny proporczyk."
"traveler:WALLCOMMENT_ARSKICKER","I remember that game.","Pamiętam tamten mecz."
"traveler:WALLCOMMENT_ARSKICKER","Intense.","To były emocje."
"traveler:WALLCOMMENT_ARSKICKER","Go Arskickers!","Do boju, Kozaki!"
"traveler:WALLCOMMENT_ARSKICKER","What the hell?","Co to ma znaczyć?"
"traveler:WALLCOMMENT_ARSKICKER","I thought we have Arskickers connection.","Wydawało mi się, że kibice Kozaków to jedna rodzina."
"traveler:WALLCOMMENT_SONDRAWING","What is this drawing on the wall?","Co to za rysunek na ścianie?"
"traveler:WALLCOMMENT_SONDRAWING","My dog can do better.","Mój pies zrobiłby lepszy."
"traveler:WALLCOMMENT_SONDRAWING","@It is from my son.","@To od mojego syna."
"traveler:WALLCOMMENT_SONDRAWING","Oh.~","Och.~"
"traveler:WALLCOMMENT_SONDRAWING","Maybe he should try sports.","Może powinien spróbować sił w sporcie."
"traveler:WALLCOMMENT_SONDRAWING","Thanks.","Dzięki."
